LAnkleAngle
File	Frame	X 	Y 	Z 
C:\Motion Data\1244\Processed\1244jb31.c3d	
 -	1	-82.239853	14.308350	16.836258
 - 	2	-82.280396	14.483027	16.708477
 - 	3	-82.028481	14.382113	16.907541
 - 	4	-82.731400	14.569258	15.306985
 - 	5	-82.548439	14.043647	13.438859
 - 	6	-75.634293	10.645570	9.636215
 - 	7	-72.549973	13.037726	9.241589
 - 	8	-71.629318	12.584767	9.194382
 - 	9	-71.328232	13.093145	8.617413
 - 	10	-74.130943	12.152110	6.733491
 - 	11	-75.463425	12.606550	6.918384
 - 	12	-76.522636	13.681316	7.785704
 - 	13	-77.641006	14.430433	8.453184
 - 	14	-78.558693	14.290799	9.820851
 - 	15	-79.331406	14.012671	10.612080
 - 	16	-79.981972	14.274107	11.774398
 - 	17	-80.695473	14.834868	13.139916
 - 	18	-81.653572	15.207635	13.961118
 - 	19	-82.505852	15.296825	14.373899
 - 	20	-83.618561	15.467940	14.373230
 - 	21	-84.312935	15.776712	15.583078
 - 	22	-85.352905	15.448713	16.295662
 - 	23	-86.456352	15.070956	16.455482
 - 	24	-87.266838	15.217696	17.863548
 - 	25	-88.410950	14.530972	17.572384
 - 	26	-89.629379	14.211970	17.833939
 - 	27	-90.027985	14.553789	19.100674
 - 	28	-90.769745	13.737400	19.199156
 - 	29	-91.516327	13.194371	20.439604
 - 	30	-92.499115	13.161982	20.755081
 - 	31	-93.473785	13.230824	20.240488
 - 	32	-94.102783	13.206624	20.656321
 - 	33	-94.601013	13.211643	20.307501
 - 	34	-95.566132	13.442303	22.110767
 - 	35	-95.588623	13.480797	22.181610
 - 	36	-94.925415	13.247626	23.631361
 - 	37	-94.312439	13.996814	23.833809
 - 	38	-93.360107	13.889913	24.536715
 - 	39	-91.659180	15.166919	25.176888
 - 	40	-89.000443	16.237131	25.822180
 - 	41	-86.064079	18.249426	25.980053
 - 	42	-81.808372	20.361357	27.400742
 - 	43	-76.955154	23.662371	26.755459
 - 	44	-70.372307	27.727545	27.759390
 - 	45	-61.803967	30.602161	25.589493
 - 	46	-56.866089	32.955963	25.420633
 - 	47	-52.156132	31.954245	23.062786
 - 	48	-49.362995	29.306774	20.155369
 - 	49	-53.401661	24.876764	19.539984
 - 	50	-60.097565	21.456970	21.780703
 - 	51	-63.708370	18.025301	20.947144
 - 	52	-68.155136	15.913878	22.198637
 - 	53	-71.757797	14.788763	24.088190
 - 	54	-75.949127	12.679822	26.917406
 - 	55	-79.188538	9.927547	27.360395
 - 	56	-82.028236	8.864737	27.066656
 - 	57	-84.235268	8.264791	26.611246
 - 	58	-85.981216	7.624267	25.022327
 - 	59	-87.917374	7.293847	22.560049
 - 	60	-88.709869	8.129019	20.848827
 - 	61	-89.592659	9.164504	20.616047
 - 	62	-90.306458	10.605719	20.418854
 - 	63	-90.531921	11.457237	19.410671
 - 	64	-89.944054	11.866432	18.111622
 - 	65	-89.311867	13.703244	17.255043
 - 	66	-89.075920	13.830399	16.706282
