LElbowAngle
File	Frame	X 	Y 	Z 
C:\Motion Data\1244\Processed\1244jb31.c3d	
 -	1	26.053234	12.478192	-83.114990
 - 	2	24.878508	11.845639	-82.950348
 - 	3	23.660574	11.411754	-82.572861
 - 	4	22.928514	10.962852	-82.653885
 - 	5	22.436083	10.864308	-82.343140
 - 	6	22.022404	10.633273	-82.397331
 - 	7	20.968857	10.137712	-82.180260
 - 	8	20.515055	9.856449	-82.156128
 - 	9	20.080175	9.712159	-82.082520
 - 	10	19.560492	9.495327	-81.984818
 - 	11	20.041929	9.745702	-81.982201
 - 	12	20.563797	9.983530	-82.080048
 - 	13	21.337971	10.316241	-82.253845
 - 	14	21.858095	10.624887	-82.321541
 - 	15	22.898907	11.014603	-82.538284
 - 	16	23.125633	11.136181	-82.616791
 - 	17	23.644226	11.309649	-82.785500
 - 	18	24.121147	11.497894	-82.881699
 - 	19	24.347692	11.687356	-82.689011
 - 	20	24.562479	11.686541	-83.010742
 - 	21	24.815264	11.826552	-83.010620
 - 	22	24.653322	11.804868	-82.840202
 - 	23	24.971840	11.940328	-82.995544
 - 	24	25.500549	12.143092	-83.176857
 - 	25	25.856970	12.322215	-83.070717
 - 	26	26.697788	12.668760	-83.407242
 - 	27	27.777039	13.075172	-83.629417
 - 	28	28.980646	13.669793	-83.845146
 - 	29	29.880148	13.917884	-84.134216
 - 	30	31.700626	14.734482	-84.611290
 - 	31	32.847790	15.125149	-84.866989
 - 	32	34.405128	15.817882	-85.288071
 - 	33	35.482838	16.103449	-85.557762
 - 	34	36.513916	16.665977	-85.688065
 - 	35	37.529793	16.912853	-86.184540
 - 	36	38.734371	17.261345	-86.506493
 - 	37	38.733295	17.334131	-86.593430
 - 	38	38.833569	17.303053	-86.625481
 - 	39	38.681870	17.345234	-86.471306
 - 	40	38.612469	17.335384	-86.362022
 - 	41	37.849827	17.025833	-86.241356
 - 	42	36.425442	16.456505	-85.845085
 - 	43	34.855930	16.011780	-85.288567
 - 	44	32.745609	15.117311	-84.741631
 - 	45	30.669699	14.261344	-84.300407
 - 	46	28.272717	13.297814	-83.635544
 - 	47	26.422783	12.600683	-83.293930
 - 	48	26.118628	12.382936	-83.244972
 - 	49	25.492849	12.119013	-83.004738
 - 	50	25.504808	12.194939	-83.009705
 - 	51	25.584337	12.182989	-83.092346
 - 	52	25.622971	12.191485	-83.138992
 - 	53	25.441063	12.145027	-82.920052
 - 	54	25.878990	12.363574	-83.134186
 - 	55	26.308563	12.499892	-83.179214
 - 	56	27.037529	12.847643	-83.276199
 - 	57	27.445890	13.063286	-83.446594
 - 	58	28.434299	13.402564	-83.649239
 - 	59	29.649725	13.901671	-83.991425
 - 	60	30.374508	14.202763	-84.170387
 - 	61	30.581903	14.212271	-84.297066
 - 	62	30.732714	14.272250	-84.371719
 - 	63	30.608940	14.376092	-84.153732
 - 	64	30.443930	14.182347	-84.129242
 - 	65	29.863718	14.020938	-84.036583
 - 	66	29.430573	13.817197	-83.897064
 - 	67	28.517103	13.439632	-83.783249
 - 	68	27.664663	13.115947	-83.528915
 - 	69	26.716925	12.673184	-83.265129
 - 	70	25.875929	12.342877	-83.152176
 - 	71	24.826279	11.898972	-82.898918
 - 	72	24.086422	11.463408	-82.915810
 - 	73	23.559469	11.237535	-82.707253
 - 	74	22.739199	10.956193	-82.524467
 - 	75	22.023762	10.552580	-82.472015
 - 	76	21.862831	10.540009	-82.294235
 - 	77	21.524271	10.470962	-82.224106
 - 	78	21.353970	10.333633	-82.306778
 - 	79	21.052177	10.194252	-82.231606
 - 	80	20.950298	10.152687	-82.165611
 - 	81	21.527748	10.379349	-82.394646
 - 	82	21.707081	10.464652	-82.290718
 - 	83	22.492338	10.886258	-82.374298
 - 	84	23.780516	11.355042	-82.656662
 - 	85	24.265522	11.587481	-82.775963
 - 	86	24.899433	11.881710	-82.966309
 - 	87	25.457596	12.113906	-83.043709
 - 	88	25.623840	12.196364	-83.051376
 - 	89	26.563900	12.632107	-83.344894
 - 	90	26.824697	12.767565	-83.355278
 - 	91	27.544813	12.999506	-83.562515
 - 	92	27.937185	13.206532	-83.596291
 - 	93	28.573372	13.408336	-83.829018
 - 	94	28.897818	13.588587	-83.825394
 - 	95	30.230495	14.050526	-84.203560
 - 	96	31.279514	14.550748	-84.508591
 - 	97	32.439926	15.032995	-84.577469
 - 	98	34.029114	15.540272	-85.191643
 - 	99	35.765503	16.260445	-85.702713
 - 	100	37.655190	16.965286	-86.223633
 - 	101	39.509323	17.568924	-86.730499
 - 	102	41.267937	18.363388	-87.116623
 - 	103	42.807472	18.700911	-87.786446
 - 	104	43.810787	19.165613	-88.010918
 - 	105	44.571999	19.354156	-88.240082
 - 	106	45.547035	19.642731	-88.569740
 - 	107	44.806808	19.446634	-88.408737
 - 	108	44.705853	19.273771	-88.448334
 - 	109	43.625065	19.084814	-87.993965
 - 	110	42.618793	18.724499	-87.697945
 - 	111	41.076038	18.281765	-87.166138
 - 	112	39.514221	17.623755	-86.662170
 - 	113	36.831848	16.599791	-85.969154
 - 	114	33.929893	15.622293	-85.078323
 - 	115	31.196548	14.513265	-84.380646
 - 	116	28.773266	13.527692	-83.834328
 - 	117	27.465288	12.967168	-83.553024
 - 	118	26.454210	12.499215	-83.264893
 - 	119	26.092999	12.407713	-83.190781
 - 	120	26.163940	12.420435	-83.271973
 - 	121	25.642509	12.228498	-83.084946
 - 	122	25.942608	12.326266	-83.167519
 - 	123	26.461136	12.602521	-83.314552
 - 	124	26.376411	12.539811	-83.309624
 - 	125	26.667013	12.635001	-83.311790
 - 	126	26.963158	12.734344	-83.412956
 - 	127	27.339403	13.001289	-83.415131
 - 	128	27.467052	12.938748	-83.568275
 - 	129	27.891706	13.187916	-83.574287
 - 	130	28.423277	13.420829	-83.694260
 - 	131	28.763016	13.598555	-83.750694
 - 	132	28.315271	13.415125	-83.733650
 - 	133	28.527975	13.415599	-83.844795
 - 	134	28.335373	13.413024	-83.620651
 - 	135	27.445847	12.942041	-83.510727
 - 	136	26.720419	12.652331	-83.239952
 - 	137	25.417036	12.074783	-83.188744
 - 	138	24.406643	11.774370	-82.819359
 - 	139	22.985054	11.082715	-82.497314
 - 	140	22.047775	10.589995	-82.411339
 - 	141	21.350164	10.361540	-82.331360
 - 	142	20.366011	9.839831	-82.137230
 - 	143	20.485765	9.938811	-82.167671
 - 	144	20.300974	9.828144	-82.060143
 - 	145	20.257509	9.814764	-82.028679
 - 	146	20.062092	9.758574	-82.115295
 - 	147	19.917358	9.683091	-82.037376
 - 	148	20.505192	9.929869	-82.207085
 - 	149	21.398815	10.299899	-82.323761
 - 	150	21.444963	10.370333	-82.228172
 - 	151	22.538469	10.835801	-82.507317
 - 	152	23.337938	11.211003	-82.648415
 - 	153	23.916637	11.486962	-82.685867
 - 	154	24.875639	11.862704	-83.121376
 - 	155	25.654076	12.220717	-83.125023
 - 	156	25.681213	12.243063	-83.185196
 - 	157	26.728411	12.677214	-83.414383
 - 	158	27.393887	12.917136	-83.565475
 - 	159	27.638470	13.026476	-83.673149
 - 	160	28.239456	13.318787	-83.719742
 - 	161	28.933399	13.648630	-83.822983
 - 	162	29.271185	13.646194	-84.061852
 - 	163	30.352230	14.156780	-84.240578
 - 	164	31.686573	14.767382	-84.390381
 - 	165	32.984989	15.287898	-84.882317
 - 	166	34.390045	15.766255	-85.209724
 - 	167	36.030342	16.474401	-85.596024
 - 	168	37.861744	17.069735	-86.165794
 - 	169	39.605370	17.598181	-86.685776
