LHipAngle
File	Frame	X 	Y 	Z 
C:\Motion Data\1244\Processed\1244jb31.c3d	
 -	1	-24.609875	4.595723	-13.569938
 - 	2	-23.605446	3.917904	-12.957494
 - 	3	-22.674068	4.025513	-12.647952
 - 	4	-23.135921	3.824638	-11.528246
 - 	5	-21.299459	5.183264	-5.402484
 - 	6	-20.503031	3.100827	-8.530986
 - 	7	-17.551897	3.418198	-6.273001
 - 	8	-16.231291	3.562763	-4.760902
 - 	9	-15.229258	4.469910	-1.358642
 - 	10	-15.513672	5.896265	1.369460
 - 	11	-14.032779	7.436226	1.020948
 - 	12	-12.362704	8.317085	-0.938717
 - 	13	-10.343799	9.072245	-1.884827
 - 	14	-7.177049	9.561405	-4.799860
 - 	15	-3.815190	9.130066	-8.016148
 - 	16	-1.811139	9.068402	-9.538915
 - 	17	-1.024498	8.291439	-9.087925
 - 	18	-0.382966	8.196619	-7.771401
 - 	19	0.244434	7.894192	-6.509652
 - 	20	0.534000	7.100646	-5.452556
 - 	21	1.923525	6.421734	-7.918623
 - 	22	2.262758	5.938944	-8.441243
 - 	23	3.600715	5.707342	-9.035414
 - 	24	4.313335	5.260730	-8.122936
 - 	25	4.120963	4.955565	-7.001947
 - 	26	5.308054	4.614895	-6.761604
 - 	27	5.901321	4.235189	-6.292078
 - 	28	6.710765	3.678367	-6.520720
 - 	29	7.558189	3.610155	-6.551660
 - 	30	8.117158	3.548171	-5.845813
 - 	31	8.542452	3.778277	-5.002813
 - 	32	9.087092	3.841423	-4.813229
 - 	33	10.120468	3.730875	-5.314843
 - 	34	10.184530	3.823696	-5.782633
 - 	35	11.296863	3.749854	-6.414652
 - 	36	12.634839	3.139358	-7.451354
 - 	37	12.274505	2.890581	-6.953280
 - 	38	14.066143	1.984390	-8.028108
 - 	39	14.912321	0.905945	-7.702027
 - 	40	15.675313	-0.775592	-8.054385
 - 	41	16.491074	-2.782796	-7.820561
 - 	42	17.046310	-4.964431	-7.891836
 - 	43	16.835712	-6.777322	-6.789847
 - 	44	15.412438	-8.895325	-7.973077
 - 	45	13.856477	-11.234756	-10.850010
 - 	46	12.034953	-13.870231	-15.116282
 - 	47	9.171794	-15.090322	-17.293871
 - 	48	7.098951	-16.091845	-16.881863
 - 	49	5.328293	-16.281836	-16.498409
 - 	50	2.299215	-15.201185	-14.302774
 - 	51	0.087236	-14.537826	-11.556288
 - 	52	-1.689521	-12.814181	-8.520696
 - 	53	-4.646508	-11.359537	-7.067413
 - 	54	-8.756053	-9.767833	-7.251251
 - 	55	-11.710784	-7.547252	-7.507154
 - 	56	-13.819283	-5.183930	-9.321279
 - 	57	-16.478945	-3.130553	-11.112167
 - 	58	-19.025875	-1.832284	-11.404946
 - 	59	-20.615589	-0.098060	-11.245543
 - 	60	-22.569958	0.490705	-11.425350
 - 	61	-24.392092	0.566010	-9.796766
 - 	62	-25.133757	1.144015	-9.404638
 - 	63	-25.899523	1.182114	-8.788915
 - 	64	-24.338770	1.867685	-11.143415
 - 	65	-26.081308	2.271591	-11.127638
 - 	66	-25.854425	2.019863	-11.146068
 - 	67	-25.368193	2.944014	-11.839504
 - 	68	-24.365259	1.955411	-12.121980
 - 	69	-11.751300	0.362861	-15.028013
 - 	70	-21.740093	2.855236	-13.217251
 - 	71	-20.617348	3.045096	-15.461039
 - 	72	-19.117565	3.696909	-16.698050
 - 	73	-19.721628	4.011215	-15.819439
 - 	74	-19.174404	4.035726	-15.460794
 - 	75	-19.036768	2.938573	-14.017073
 - 	76	-17.420471	3.633114	-14.214319
 - 	77	-15.637381	3.533194	-13.354304
 - 	78	-11.865860	3.761062	-13.060975
 - 	79	-10.562898	3.774086	-9.299665
 - 	80	-9.374142	4.134490	-5.643335
 - 	81	-10.068376	5.441412	-3.092607
 - 	82	-9.543834	6.827468	-4.629448
 - 	83	-8.887143	8.293490	-3.942869
 - 	84	-6.635081	8.476425	-4.387809
 - 	85	-3.825124	8.899329	-5.690358
 - 	86	-1.415607	8.977482	-7.431954
 - 	87	1.015866	8.386604	-8.865037
 - 	88	5.811439	5.376008	-11.480385
 - 	89	2.324327	6.280661	-7.177852
 - 	90	2.634923	8.096038	-7.114653
 - 	91	3.253521	7.752939	-6.912446
 - 	92	3.423949	7.004266	-6.244840
 - 	93	4.061512	6.772896	-7.270724
 - 	94	3.735676	6.310169	-6.007481
 - 	95	4.137014	6.157797	-5.580907
 - 	96	6.012766	5.525095	-6.408264
 - 	97	6.328844	4.775673	-5.621183
 - 	98	6.885468	4.033281	-5.830553
 - 	99	7.253784	3.332009	-5.086738
 - 	100	7.623974	3.061268	-4.478153
 - 	101	8.839798	2.741959	-5.389334
