LKneeAngle
File	Frame	X 	Y 	Z 
C:\Motion Data\1244\Processed\1244jb31.c3d	
 -	1	-8.559597	4.001952	-1.002170
 - 	2	-9.801016	3.988817	-2.371689
 - 	3	-8.784593	3.635778	-3.008841
 - 	4	-6.165196	3.560595	-3.338984
 - 	5	-4.607222	-0.232088	-9.359669
 - 	6	-4.688068	2.791893	-3.980258
 - 	7	-5.593907	3.549507	-5.383810
 - 	8	-4.233935	4.153293	-4.564981
 - 	9	-2.788132	3.957154	-5.381802
 - 	10	-0.021988	3.259220	-5.358664
 - 	11	1.084044	3.109296	-2.964866
 - 	12	0.899397	3.749978	-1.614248
 - 	13	0.312310	4.384507	-1.212828
 - 	14	-1.159117	4.525735	0.075574
 - 	15	-2.226375	5.165915	1.186779
 - 	16	-3.157877	4.973566	1.513623
 - 	17	-3.327001	5.113412	0.240210
 - 	18	-3.212116	4.830251	-0.276461
 - 	19	-2.952355	4.486285	-0.825096
 - 	20	-2.454188	4.382754	-0.569814
 - 	21	-2.633132	4.227138	1.757847
 - 	22	-2.149906	4.109646	2.151485
 - 	23	-2.087214	3.471432	3.525325
 - 	24	-1.782407	2.984541	2.183022
 - 	25	-1.051300	2.687983	2.376740
 - 	26	-0.708865	2.316525	2.756287
 - 	27	-0.468128	2.346767	2.568293
 - 	28	-0.247115	2.107267	3.664049
 - 	29	0.108511	1.831327	3.599456
 - 	30	0.662430	1.729703	3.136342
 - 	31	1.307292	1.905533	3.188652
 - 	32	1.758378	1.823656	3.429797
 - 	33	2.208042	1.809796	4.597928
 - 	34	2.883523	1.669832	4.708958
 - 	35	3.566084	1.766245	5.358746
 - 	36	3.939655	1.510701	6.088998
 - 	37	5.077244	1.686486	5.681149
 - 	38	5.573506	1.657933	6.317248
 - 	39	6.444205	1.414061	5.626708
 - 	40	7.550779	1.237225	5.724311
 - 	41	8.995461	0.926671	4.998558
 - 	42	10.604782	0.243453	3.385722
 - 	43	13.410931	-0.041565	0.938001
 - 	44	16.017532	-1.311320	-0.075069
 - 	45	19.353693	-2.710799	-0.100680
 - 	46	23.344948	-4.657145	-0.022616
 - 	47	28.966021	-6.745335	0.178829
 - 	48	34.841591	-8.325821	-0.571500
 - 	49	41.255325	-9.332028	-0.276823
 - 	50	47.248577	-11.053247	-1.090879
 - 	51	52.531918	-9.822432	-0.716129
 - 	52	56.104084	-10.688932	-1.759285
