LShoulderAngle
File	Frame	X 	Y 	Z 
C:\Motion Data\1244\Processed\1244jb31.c3d	
 -	1	-10.436652	0.493302	-61.582127
 - 	2	-10.227082	0.477240	-61.562748
 - 	3	-9.420974	0.520716	-62.765144
 - 	4	-8.956820	0.216509	-62.801731
 - 	5	-8.113008	-0.441620	-64.001190
 - 	6	-7.564071	-0.961837	-63.940788
 - 	7	-7.187045	-1.243048	-64.620377
 - 	8	-7.172084	-1.435864	-65.227684
 - 	9	-6.808253	-1.617606	-67.361328
 - 	10	-7.250537	-1.713538	-67.081100
 - 	11	-7.331195	-1.472179	-68.694649
 - 	12	-7.801299	-1.121060	-69.874359
 - 	13	-8.551664	-0.947123	-69.328987
 - 	14	-9.111070	-0.448995	-69.834137
 - 	15	-9.752795	-0.831210	-68.559464
 - 	16	-10.817560	-0.547911	-68.052856
 - 	17	-11.932585	-0.008504	-68.278488
 - 	18	-13.707170	0.572520	-67.341736
 - 	19	-14.718633	1.175819	-67.890968
 - 	20	-15.876388	1.397545	-67.093758
 - 	21	-17.042713	2.195523	-67.774269
 - 	22	-17.694557	2.730421	-68.740318
 - 	23	-19.116102	3.289973	-67.025398
 - 	24	-19.992090	4.396108	-67.707863
 - 	25	-20.789709	5.253103	-67.603119
 - 	26	-21.601803	5.924897	-67.712494
 - 	27	-22.533432	6.274844	-67.315033
 - 	28	-22.870094	6.416453	-67.437965
 - 	29	-23.494436	7.104890	-67.538696
 - 	30	-23.626299	7.491379	-68.557816
 - 	31	-23.729073	8.250733	-69.068291
 - 	32	-23.857002	7.528412	-68.861557
 - 	33	-23.724640	8.225186	-69.542313
 - 	34	-24.086805	8.153619	-69.236320
 - 	35	-23.646326	8.259995	-69.670311
 - 	36	-22.839165	8.207948	-70.672218
 - 	37	-22.755686	8.964362	-70.536781
 - 	38	-21.659889	8.671387	-71.236473
 - 	39	-20.586563	8.581311	-72.230965
 - 	40	-19.468180	7.864315	-72.737854
 - 	41	-18.472567	7.028411	-73.033783
 - 	42	-17.425961	5.930238	-73.693970
 - 	43	-16.670078	4.709819	-73.315361
 - 	44	-15.890051	4.303540	-73.807060
 - 	45	-15.366182	3.352121	-73.384216
 - 	46	-14.865792	3.414463	-72.143196
 - 	47	-14.434616	2.789834	-69.611229
 - 	48	-13.541574	2.111410	-68.163712
 - 	49	-12.481493	1.484611	-67.575829
 - 	50	-12.230886	0.990588	-66.288208
 - 	51	-12.428470	-0.042503	-63.141857
 - 	52	-12.124719	-1.433389	-60.406467
 - 	53	-12.331876	-2.289432	-56.815189
 - 	54	-12.342349	-2.975430	-53.935360
 - 	55	-12.683399	-3.897032	-51.585880
 - 	56	-11.966004	-4.709806	-50.349705
 - 	57	-12.135680	-5.561698	-47.593773
 - 	58	-12.160361	-6.222159	-47.328537
 - 	59	-11.969004	-7.163347	-45.851772
 - 	60	-11.737199	-7.295264	-46.662331
 - 	61	-11.541611	-7.933049	-45.639080
 - 	62	-11.709784	-8.010483	-46.342392
 - 	63	-11.368642	-8.202457	-46.344971
 - 	64	-10.175569	-8.909851	-48.925159
 - 	65	-11.398458	-7.696490	-49.355442
