PelvisCOG
File	Frame	X 	Y 	Z 
C:\Motion Data\1244\Processed\1244jb31.c3d	
 -	1	-1.638902	0.204883	0.806201
 - 	2	-1.617017	0.203509	0.805218
 - 	3	-1.593087	0.205734	0.804667
 - 	4	-1.570207	0.207492	0.803439
 - 	5	-1.544408	0.206275	0.804123
 - 	6	-1.518233	0.207400	0.806433
 - 	7	-1.490985	0.211151	0.810287
 - 	8	-1.465583	0.213883	0.814658
 - 	9	-1.439985	0.217245	0.818945
 - 	10	-1.417241	0.220915	0.822528
 - 	11	-1.394250	0.223512	0.826291
 - 	12	-1.375423	0.226761	0.827981
 - 	13	-1.356295	0.229466	0.829411
 - 	14	-1.337394	0.230061	0.831599
 - 	15	-1.317632	0.229426	0.833298
 - 	16	-1.299429	0.229887	0.835154
 - 	17	-1.282478	0.230784	0.837102
 - 	18	-1.267107	0.232926	0.838257
 - 	19	-1.249288	0.234844	0.839895
 - 	20	-1.231803	0.237206	0.841186
 - 	21	-1.214998	0.239034	0.842303
 - 	22	-1.196276	0.240434	0.842803
 - 	23	-1.179972	0.242563	0.842718
 - 	24	-1.162925	0.244253	0.842963
 - 	25	-1.146148	0.245657	0.842772
 - 	26	-1.128842	0.248144	0.842420
 - 	27	-1.111775	0.249993	0.841313
 - 	28	-1.093557	0.251052	0.840222
 - 	29	-1.075691	0.252563	0.838027
 - 	30	-1.057539	0.253014	0.835591
 - 	31	-1.039599	0.254021	0.832463
 - 	32	-1.019512	0.254508	0.829245
 - 	33	-0.999708	0.255330	0.825958
 - 	34	-0.980457	0.254932	0.822504
 - 	35	-0.959110	0.254866	0.818684
 - 	36	-0.937116	0.254093	0.815397
 - 	37	-0.917378	0.252784	0.812738
 - 	38	-0.893397	0.251483	0.809823
 - 	39	-0.869668	0.249435	0.808354
 - 	40	-0.844213	0.247028	0.807847
 - 	41	-0.817452	0.244107	0.807817
 - 	42	-0.789414	0.241195	0.808217
 - 	43	-0.761114	0.238614	0.808584
 - 	44	-0.734102	0.235882	0.809033
 - 	45	-0.705466	0.232255	0.809403
 - 	46	-0.678686	0.227584	0.811477
 - 	47	-0.653146	0.222573	0.813979
 - 	48	-0.628706	0.217792	0.816686
 - 	49	-0.604146	0.214355	0.819082
 - 	50	-0.584764	0.211003	0.821838
 - 	51	-0.563818	0.208185	0.824579
 - 	52	-0.542631	0.208834	0.827571
 - 	53	-0.524136	0.206707	0.830147
 - 	54	-0.507153	0.203841	0.832911
 - 	55	-0.489253	0.201800	0.835076
 - 	56	-0.469120	0.200161	0.836906
 - 	57	-0.451661	0.197393	0.838238
 - 	58	-0.434040	0.194613	0.838235
 - 	59	-0.416033	0.193665	0.839384
 - 	60	-0.397891	0.192168	0.839107
 - 	61	-0.379577	0.190106	0.838411
 - 	62	-0.361462	0.188914	0.837331
 - 	63	-0.341580	0.187960	0.836620
 - 	64	-0.317652	0.186163	0.833755
 - 	65	-0.304661	0.184782	0.832405
 - 	66	-0.284497	0.183817	0.829827
 - 	67	-0.264663	0.184323	0.827513
 - 	68	-0.243534	0.181112	0.824050
 - 	69	-0.195537	0.179436	0.823960
 - 	70	-0.202506	0.181091	0.818225
 - 	71	-0.181041	0.179441	0.814925
 - 	72	-0.157405	0.180716	0.814241
 - 	73	-0.135318	0.179125	0.811880
 - 	74	-0.110947	0.180953	0.811922
 - 	75	-0.084943	0.181714	0.812537
 - 	76	-0.057573	0.182826	0.813732
 - 	77	-0.030491	0.182479	0.814535
 - 	78	-0.003465	0.184285	0.818409
 - 	79	0.022237	0.185703	0.822750
 - 	80	0.048692	0.187999	0.826802
 - 	81	0.071107	0.191505	0.829375
 - 	82	0.093540	0.193179	0.829608
 - 	83	0.114238	0.196800	0.830939
 - 	84	0.134379	0.199763	0.831960
 - 	85	0.154664	0.198839	0.832543
 - 	86	0.173007	0.198826	0.834023
 - 	87	0.191624	0.199054	0.834825
 - 	88	0.213332	0.201149	0.836794
 - 	89	0.229029	0.200876	0.837744
 - 	90	0.246526	0.203670	0.838654
 - 	91	0.264518	0.204986	0.840048
 - 	92	0.281965	0.207865	0.840995
 - 	93	0.297593	0.209712	0.841963
 - 	94	0.313365	0.211986	0.843031
 - 	95	0.331302	0.214286	0.843351
 - 	96	0.352090	0.214943	0.842991
 - 	97	0.369406	0.213923	0.841559
 - 	98	0.387747	0.213361	0.839548
 - 	99	0.406218	0.212434	0.837227
 - 	100	0.425326	0.213158	0.834134
 - 	101	0.445255	0.213705	0.830654
 - 	102	0.464927	0.213520	0.827410
 - 	103	0.485387	0.213492	0.824160
 - 	104	0.506559	0.212633	0.820999
 - 	105	0.524020	0.211385	0.818692
 - 	106	0.547616	0.211002	0.816383
 - 	107	0.573351	0.210366	0.814012
 - 	108	0.596895	0.208080	0.813098
 - 	109	0.621753	0.205814	0.812818
 - 	110	0.648148	0.204025	0.813534
 - 	111	0.674951	0.202024	0.815085
 - 	112	0.701956	0.199165	0.817191
 - 	113	0.727894	0.195729	0.820268
 - 	114	0.749734	0.191996	0.823856
 - 	115	0.775125	0.188757	0.826652
 - 	116	0.797209	0.186443	0.828164
 - 	117	0.817391	0.184428	0.829659
 - 	118	0.837198	0.182592	0.830805
 - 	119	0.856295	0.180438	0.831597
 - 	120	0.874766	0.179855	0.833252
 - 	121	0.892808	0.179633	0.835531
 - 	122	0.910156	0.178312	0.837623
 - 	123	0.927314	0.176954	0.838804
 - 	124	0.944562	0.173450	0.840376
 - 	125	0.961609	0.170578	0.841287
 - 	126	0.979125	0.169299	0.843292
 - 	127	0.996510	0.166996	0.844473
 - 	128	1.014615	0.165143	0.845206
 - 	129	1.032486	0.163632	0.845393
 - 	130	1.050934	0.164952	0.844760
 - 	131	1.068709	0.164019	0.843551
 - 	132	1.087125	0.165565	0.842125
 - 	133	1.105380	0.164079	0.839848
 - 	134	1.125100	0.164829	0.837225
 - 	135	1.143912	0.164784	0.834355
 - 	136	1.163819	0.164539	0.831639
 - 	137	1.184312	0.164241	0.829393
 - 	138	1.204858	0.164023	0.826797
 - 	139	1.226976	0.164908	0.825225
 - 	140	1.249074	0.164342	0.823858
 - 	141	1.272456	0.164677	0.822897
 - 	142	1.297035	0.166550	0.823245
 - 	143	1.322568	0.167917	0.823461
 - 	144	1.349541	0.167644	0.824499
 - 	145	1.376127	0.170129	0.825920
 - 	146	1.402676	0.171434	0.828660
 - 	147	1.428294	0.174100	0.832143
 - 	148	1.452858	0.177464	0.834345
 - 	149	1.476172	0.181634	0.835695
 - 	150	1.496621	0.184704	0.835909
 - 	151	1.517248	0.186309	0.838280
 - 	152	1.536281	0.187356	0.839564
 - 	153	1.554776	0.187242	0.841019
 - 	154	1.573091	0.187256	0.842608
 - 	155	1.590968	0.186912	0.844454
 - 	156	1.608528	0.189723	0.845710
 - 	157	1.625871	0.191438	0.846519
 - 	158	1.642814	0.193888	0.847864
 - 	159	1.660060	0.197870	0.848859
 - 	160	1.677772	0.200296	0.850077
 - 	161	1.694301	0.201599	0.850716
 - 	162	1.712151	0.203231	0.851197
 - 	163	1.728063	0.203838	0.850155
 - 	164	1.747149	0.205022	0.849550
 - 	165	1.765689	0.205518	0.848072
 - 	166	1.783683	0.204328	0.845560
 - 	167	1.800568	0.204281	0.843244
 - 	168	1.820893	0.203746	0.840319
 - 	169	1.840016	0.203872	0.837344
 - 	170	1.859282	0.203875	0.834741
 - 	171	1.877944	0.203438	0.832280
 - 	172	1.900697	0.204284	0.829746
 - 	173	1.922276	0.205204	0.827608
 - 	174	1.945467	0.204967	0.826192
 - 	175	1.965866	0.201054	0.825421
