Pelvis
File	Frame	X 	Y 	Z 
C:\Motion Data\1244\Processed\1244jb31.c3d	
 -	1	0.992774	7.821033	-96.172119
 - 	2	0.750832	7.693244	-96.795929
 - 	3	1.036003	7.178119	-97.071655
 - 	4	1.927085	7.439295	-97.618713
 - 	5	1.897905	6.803614	-98.261932
 - 	6	2.086828	6.368861	-98.133087
 - 	7	2.895867	5.775679	-97.414551
 - 	8	3.979507	5.380549	-96.717926
 - 	9	5.326369	4.409232	-96.409882
 - 	10	6.485648	4.248701	-95.940552
 - 	11	7.144565	3.630821	-95.330627
 - 	12	7.848003	4.033712	-95.101593
 - 	13	8.823654	4.109416	-95.279083
 - 	14	8.894708	3.946384	-95.616638
 - 	15	8.666464	3.046715	-96.569031
 - 	16	8.219217	3.218486	-96.559448
 - 	17	7.682264	3.443849	-96.434326
 - 	18	7.363685	3.882141	-95.183929
 - 	19	6.819864	4.000556	-94.266174
 - 	20	5.989914	4.390219	-92.965698
 - 	21	5.372921	4.662630	-91.894226
 - 	22	4.782348	5.217110	-91.036469
 - 	23	4.373309	5.036812	-89.748993
 - 	24	3.571856	5.070258	-88.638290
 - 	25	3.131026	5.685284	-87.460709
 - 	26	2.757035	5.382321	-86.341682
 - 	27	2.572200	5.713649	-85.271553
 - 	28	2.235441	5.863433	-84.525894
 - 	29	2.389345	6.055845	-83.676903
 - 	30	2.461608	6.304216	-83.169044
 - 	31	2.916384	6.700754	-82.630524
 - 	32	3.190032	7.089233	-82.095726
 - 	33	3.559203	7.268870	-81.570137
 - 	34	3.914368	8.251819	-81.060600
 - 	35	4.457448	8.185994	-80.714134
 - 	36	4.722763	8.123025	-80.534218
 - 	37	4.804212	9.043468	-80.319298
 - 	38	4.936497	8.447450	-80.428047
 - 	39	4.364228	8.336553	-80.406113
 - 	40	3.429664	8.021523	-80.454041
 - 	41	2.237914	7.306708	-79.908195
 - 	42	0.971312	6.776364	-79.265785
 - 	43	-0.198567	6.410146	-78.289017
 - 	44	-1.215233	6.932664	-77.087784
 - 	45	-2.008452	6.819754	-76.642120
 - 	46	-3.232114	6.265485	-77.412132
 - 	47	-4.564644	6.039172	-78.682617
 - 	48	-5.976939	4.919209	-80.135506
 - 	49	-6.835027	3.374073	-81.780472
 - 	50	-7.441503	3.445446	-82.436981
 - 	51	-7.403427	2.530972	-82.996742
 - 	52	-6.564773	1.722688	-82.966980
 - 	53	-6.144724	1.676787	-83.418404
 - 	54	-6.101559	2.600075	-83.812965
 - 	55	-5.447371	2.543379	-84.230141
 - 	56	-4.676982	2.029123	-85.702896
 - 	57	-4.111938	2.339332	-86.809235
 - 	58	-3.710254	2.819835	-87.623146
 - 	59	-2.552499	2.670540	-88.838364
 - 	60	-2.326758	2.674825	-89.772720
 - 	61	-1.910313	2.722492	-90.859131
 - 	62	-1.376467	2.603132	-91.852234
 - 	63	-1.052842	2.611619	-92.503876
 - 	64	-0.907636	1.036423	-93.932495
 - 	65	-0.534533	3.167074	-93.880402
 - 	66	-0.580136	2.937541	-94.761414
 - 	67	0.048698	3.323505	-95.526398
 - 	68	-0.471388	3.010984	-96.736084
 - 	69	-1.362735	-8.086062	-98.362000
 - 	70	0.097279	3.546928	-97.486206
 - 	71	0.143554	3.802963	-98.415161
 - 	72	0.383923	2.910131	-98.769623
 - 	73	0.444097	3.510966	-99.480469
 - 	74	0.769067	3.198698	-99.669586
 - 	75	1.160392	2.628502	-100.282654
 - 	76	1.779463	2.028736	-100.859070
 - 	77	2.124830	2.026086	-101.343262
 - 	78	3.010720	1.637856	-101.009155
 - 	79	4.214956	1.424363	-100.271576
 - 	80	4.744122	0.440372	-99.875397
 - 	81	6.116064	0.469036	-99.115936
 - 	82	6.809351	0.552655	-99.377594
 - 	83	8.270799	0.871136	-98.448456
 - 	84	8.811327	0.541431	-98.439362
 - 	85	9.032376	-0.026365	-98.967438
 - 	86	9.191664	-0.062039	-99.266663
