RAnkleAngle
File	Frame	X 	Y 	Z 
C:\Motion Data\1244\Processed\1244jb31.c3d	
 -	1	-94.447357	-9.979181	-9.805475
 - 	2	-94.470001	-12.007532	-11.201735
 - 	3	-93.565796	-13.296839	-11.663753
 - 	4	-91.687134	-12.993088	-13.214154
 - 	5	-89.718147	-11.504991	-13.360858
 - 	6	-87.362106	-13.749726	-14.851771
 - 	7	-83.958176	-11.721961	-15.558350
 - 	8	-79.954857	-15.783773	-15.594356
 - 	9	-73.673332	-16.942579	-16.637863
 - 	10	-66.652039	-19.148993	-17.624125
 - 	11	-62.577682	-18.770424	-19.390066
 - 	12	-58.873280	-17.773769	-18.580391
 - 	13	-58.337158	-17.037153	-18.204813
 - 	14	-60.377533	-15.238337	-15.654366
 - 	15	-62.072376	-14.438779	-14.582129
 - 	16	-63.794178	-12.910292	-16.432148
 - 	17	-66.461639	-12.507884	-17.537750
 - 	18	-69.064987	-11.955355	-17.980373
 - 	19	-72.558090	-12.061425	-17.720869
 - 	20	-75.211548	-11.298913	-15.797235
 - 	21	-77.788422	-12.042350	-15.546991
 - 	22	-80.461227	-11.613347	-15.924092
 - 	23	-83.057678	-11.157293	-14.736555
 - 	24	-85.228088	-10.841142	-14.121842
 - 	25	-86.779305	-10.748688	-13.632770
 - 	26	-88.024635	-11.636714	-12.353734
 - 	27	-89.258492	-12.760026	-12.136338
 - 	28	-90.071320	-12.608296	-10.045249
 - 	29	-90.487000	-12.014571	-8.591661
 - 	30	-91.050720	-13.381638	-7.894184
 - 	31	-91.061066	-13.316297	-7.111033
 - 	32	-90.455444	-13.167041	-8.255543
 - 	33	-88.908363	-12.656202	-9.258206
 - 	34	-87.483162	-12.661098	-9.217880
 - 	35	-86.776512	-13.455364	-7.191958
 - 	36	-86.335365	-13.880397	-7.526329
 - 	37	-86.219902	-14.613246	-6.545374
 - 	38	-86.786430	-14.085175	-6.097869
 - 	39	-87.752144	-14.915030	-5.220699
 - 	40	-88.210854	-14.333101	-4.494794
 - 	41	-88.412918	-13.605102	-3.990437
 - 	42	-88.385048	-13.141884	-5.704077
 - 	43	-87.864571	-13.523804	-7.101892
 - 	44	-79.961945	-13.616975	-5.063232
 - 	45	-76.954216	-12.277712	-5.466401
