RElbowAngle
File	Frame	X 	Y 	Z 
C:\Motion Data\1244\Processed\1244jb31.c3d	
 -	1	48.593063	-20.618338	-61.814243
 - 	2	48.813744	-20.701902	-61.827297
 - 	3	48.271687	-20.559660	-61.901821
 - 	4	47.995949	-20.488682	-61.982014
 - 	5	47.534958	-20.259169	-62.144081
 - 	6	46.649006	-19.988962	-62.410923
 - 	7	45.037151	-19.599066	-63.079018
 - 	8	43.602997	-19.154627	-63.551865
 - 	9	42.017742	-18.652975	-64.064072
 - 	10	41.147053	-18.351143	-64.346458
 - 	11	40.027916	-17.871893	-64.636436
 - 	12	39.118195	-17.622644	-64.922752
 - 	13	38.288879	-17.319828	-65.207924
 - 	14	37.379887	-17.039768	-65.401825
 - 	15	36.500153	-16.709370	-65.634880
 - 	16	35.524986	-16.302761	-66.026337
 - 	17	34.938431	-16.034126	-66.203377
 - 	18	34.194992	-15.770506	-66.387993
 - 	19	34.198414	-15.743938	-66.420670
 - 	20	34.288498	-15.799735	-66.371979
 - 	21	34.614117	-15.877084	-66.206917
 - 	22	34.201118	-15.738470	-66.224884
 - 	23	34.504322	-15.807425	-66.093323
 - 	24	34.623257	-15.864458	-66.247597
 - 	25	34.424248	-15.759902	-66.258324
 - 	26	34.218777	-15.657844	-66.217964
 - 	27	34.341587	-15.759706	-66.170105
 - 	28	34.104355	-15.725725	-66.485191
 - 	29	33.685215	-15.507103	-66.526382
 - 	30	33.625973	-15.560412	-66.592842
 - 	31	33.706123	-15.550359	-66.479027
 - 	32	33.533997	-15.341110	-66.397461
 - 	33	33.444599	-15.414820	-66.534546
 - 	34	33.020802	-15.280446	-66.561905
 - 	35	32.916134	-15.192689	-66.682961
 - 	36	32.801888	-15.191518	-66.708282
 - 	37	32.721294	-15.121222	-66.743713
 - 	38	32.229404	-14.935654	-66.855675
 - 	39	31.827494	-14.838836	-67.035141
 - 	40	30.832417	-14.374418	-67.142067
 - 	41	30.635584	-14.353139	-67.322380
 - 	42	30.141558	-14.106849	-67.301781
 - 	43	30.051016	-14.026958	-67.280960
 - 	44	30.363371	-14.182040	-67.273148
 - 	45	30.216524	-14.131691	-67.196869
 - 	46	29.873343	-13.971543	-67.269730
 - 	47	29.857828	-14.021022	-67.517174
 - 	48	30.033596	-14.075605	-67.337830
 - 	49	30.048588	-14.107458	-67.380104
