RHipAngle
File	Frame	X 	Y 	Z 
C:\Motion Data\1244\Processed\1244jb31.c3d	
 -	1	14.615710	-1.138210	0.096813
 - 	2	15.343296	-0.763436	0.793644
 - 	3	16.161285	0.037789	1.115848
 - 	4	16.287704	1.405559	1.428213
 - 	5	17.172255	2.167787	0.783469
 - 	6	17.831539	3.025367	1.179552
 - 	7	18.478252	4.991767	3.068157
 - 	8	17.999424	6.960591	3.687610
 - 	9	17.612749	9.929364	5.307929
 - 	10	15.630048	12.208448	6.310098
 - 	11	13.298645	14.224868	8.677932
 - 	12	9.423588	15.241987	11.325521
 - 	13	5.524181	15.757986	12.673846
 - 	14	2.027826	15.300211	12.304178
 - 	15	-0.578712	14.557712	9.541306
 - 	16	-4.123672	13.316481	8.155961
 - 	17	-7.811817	11.991024	7.692790
 - 	18	-11.020025	10.761218	9.185709
 - 	19	-13.502672	10.007689	9.109571
 - 	20	-16.217634	8.928614	8.794244
 - 	21	-18.165939	7.231720	10.832170
 - 	22	-20.586811	6.652644	9.424902
 - 	23	-22.123096	6.451731	9.161518
 - 	24	-23.630482	5.744726	7.367329
 - 	25	-25.407446	5.598589	6.589176
 - 	26	-26.177240	6.256303	4.109609
 - 	27	-27.110964	5.765996	4.319302
 - 	28	-27.421324	5.860909	3.342657
 - 	29	-27.435003	5.670051	4.518066
 - 	30	-27.337452	5.287163	4.784626
 - 	31	-27.151384	5.910378	5.702828
 - 	32	-26.544331	5.947720	6.218103
 - 	33	-25.567902	5.993091	7.372596
 - 	34	-25.436863	6.223300	8.711566
 - 	35	-24.429472	6.251410	10.154265
 - 	36	-24.033173	6.345478	9.466620
 - 	37	-25.712673	7.626706	6.905770
 - 	38	-26.269831	8.734600	4.317361
 - 	39	-27.152748	8.546332	2.969764
 - 	40	-27.011267	7.388631	2.563145
 - 	41	-25.351192	5.560837	3.732363
 - 	42	-22.813864	3.331425	5.784948
 - 	43	-19.594801	1.008126	8.935122
 - 	44	-17.223394	0.020218	9.564995
 - 	45	-14.866467	-0.381051	5.966244
 - 	46	-14.586026	-1.092705	1.734874
 - 	47	-15.723008	-1.363745	-4.515071
 - 	48	-15.315185	-2.758978	-7.400787
 - 	49	-12.916826	-4.033041	-8.742114
 - 	50	-11.163385	-5.404761	-7.268134
 - 	51	-8.285577	-6.223732	-6.097934
 - 	52	-6.321070	-6.364485	-6.429799
 - 	53	-5.777812	-6.067422	-9.393572
 - 	54	-4.868562	-6.850463	-8.294561
 - 	55	-2.715471	-6.900214	-6.997816
 - 	56	0.325149	-6.383941	-4.868394
 - 	57	2.155350	-6.139592	-2.619912
 - 	58	1.995629	-6.150153	-4.996860
 - 	59	3.099316	-5.593253	-5.430042
 - 	60	4.086677	-5.671740	-6.549529
 - 	61	5.404669	-5.593020	-6.822176
 - 	62	7.216347	-4.885090	-5.656227
 - 	63	8.380770	-4.682024	-4.638046
 - 	64	11.174009	-4.407199	-4.137614
 - 	65	9.878693	-4.100518	-3.793407
 - 	66	11.035834	-4.072302	-3.627009
 - 	67	11.694638	-3.337857	-3.228514
 - 	68	13.021365	-3.635713	-3.071906
 - 	69	25.221064	-3.251964	-2.889560
 - 	70	14.387005	-2.267401	-1.193821
 - 	71	15.088663	-1.874500	-0.439834
 - 	72	16.559038	-1.093459	-0.377358
 - 	73	16.859217	-0.344523	1.110268
 - 	74	17.550158	0.241411	0.134577
 - 	75	18.508436	1.312897	0.164944
 - 	76	19.290699	2.944462	-0.372833
 - 	77	19.349821	4.468814	1.368087
 - 	78	19.339518	6.502818	2.107246
 - 	79	18.670334	9.593931	4.814917
 - 	80	17.893785	11.601335	5.587524
 - 	81	15.111160	14.417744	8.781548
 - 	82	11.900488	15.898717	8.972178
 - 	83	7.625309	17.186316	13.770143
 - 	84	4.503819	17.066740	13.818933
 - 	85	1.586517	16.181141	12.212220
 - 	86	-1.804847	15.351429	9.639158
 - 	87	-5.068269	13.798865	7.843257
 - 	88	-4.364347	13.019262	2.409960
 - 	89	-11.403777	11.473413	4.568050
 - 	90	-14.294353	10.216063	5.099710
 - 	91	-16.484554	9.147768	4.817983
 - 	92	-18.740395	7.799053	6.238773
 - 	93	-20.720407	6.809110	6.008180
 - 	94	-22.703400	6.051367	5.540389
 - 	95	-24.155739	6.012095	3.971934
 - 	96	-24.245958	6.477263	1.043755
 - 	97	-25.055174	6.087749	0.118942
 - 	98	-25.238007	4.931844	0.008028
 - 	99	-25.843779	4.823468	-0.752035
 - 	100	-25.678272	3.837843	0.092478
 - 	101	-24.658474	3.090238	2.096759
 - 	102	-24.055811	2.872515	2.744610
 - 	103	-22.745203	2.180142	4.373055
 - 	104	-21.845913	2.225114	5.727129
 - 	105	-21.693783	1.540758	6.668046
 - 	106	-20.095484	1.493834	6.697309
 - 	107	-19.237593	2.235546	4.200535
 - 	108	-19.238636	1.985018	3.442428
 - 	109	-19.273895	1.622754	2.454959
 - 	110	-18.551414	0.965773	0.806841
 - 	111	-17.174358	-0.552804	-0.143698
 - 	112	-14.218613	-0.960111	-1.254509
 - 	113	-12.627081	-1.734303	-3.334363
 - 	114	-13.416009	-2.444479	-6.889843
 - 	115	-11.789282	-3.556088	-8.782022
 - 	116	-11.099527	-4.453505	-8.184194
 - 	117	-9.969478	-5.209546	-6.920758
 - 	118	-7.018064	-6.085100	-5.473017
 - 	119	-4.872595	-6.957606	-4.884059
 - 	120	-3.234704	-7.616525	-4.903706
 - 	121	-1.422133	-7.525697	-4.110599
 - 	122	0.155880	-7.545594	-3.087939
 - 	123	0.878433	-7.045979	-2.382318
 - 	124	1.856757	-6.730901	-1.143592
 - 	125	1.768492	-6.579861	-2.168821
 - 	126	2.531852	-6.130689	-2.317621
 - 	127	4.098798	-5.723249	-2.711081
 - 	128	4.739177	-5.007127	-3.229818
 - 	129	6.188088	-4.749566	-3.181099
 - 	130	6.927392	-4.186449	-4.101110
 - 	131	7.926701	-3.575606	-4.248900
 - 	132	8.285978	-3.370744	-4.861324
 - 	133	9.345508	-3.217698	-5.485762
 - 	134	10.363352	-2.573258	-5.207371
 - 	135	11.619503	-2.277157	-3.677986
 - 	136	12.413922	-2.515974	-3.963997
 - 	137	13.460026	-2.311625	-3.302629
 - 	138	14.495280	-2.145392	-1.708980
 - 	139	15.005715	-1.423395	-1.906239
 - 	140	15.616394	-0.838961	-0.943240
 - 	141	16.062397	-0.593939	-1.062506
 - 	142	16.727930	0.306483	-0.794008
 - 	143	17.369102	1.407384	-0.353832
 - 	144	17.975908	2.758277	-0.207154
 - 	145	18.011669	4.284076	0.689083
 - 	146	17.862509	6.959293	2.087153
 - 	147	17.152718	9.157602	3.560403
 - 	148	15.584463	11.721427	5.297979
 - 	149	13.046369	14.375677	9.619294
 - 	150	9.035266	15.850528	11.824206
 - 	151	5.971285	15.876338	13.707898
