RKneeAngle
File	Frame	X 	Y 	Z 
C:\Motion Data\1244\Processed\1244jb31.c3d	
 -	1	-0.028643	0.367319	-1.013611
 - 	2	1.745599	0.528885	-1.699859
 - 	3	3.689054	0.826886	-2.234101
 - 	4	5.474525	1.306013	-1.753499
 - 	5	7.565814	0.845979	-1.393058
 - 	6	9.955616	1.358244	-0.027744
 - 	7	12.381662	1.562041	0.689802
 - 	8	15.820057	1.793627	3.135509
 - 	9	19.532774	2.606990	5.920470
 - 	10	24.376577	4.782088	10.022212
 - 	11	29.943521	6.521812	10.037362
 - 	12	35.544907	7.524847	6.227488
 - 	13	41.157887	9.112098	4.159194
 - 	14	47.271046	7.965645	0.985766
 - 	15	52.421535	7.694973	0.704193
 - 	16	56.296085	8.638273	1.463681
 - 	17	59.506165	9.208550	1.462128
 - 	18	61.218678	9.326363	0.707052
 - 	19	62.060539	8.496869	1.211762
 - 	20	62.092369	7.095888	2.207590
 - 	21	60.411602	7.480373	1.099511
 - 	22	58.577637	8.520607	4.328626
 - 	23	56.006355	7.830790	5.786814
 - 	24	52.739357	8.101246	8.497094
 - 	25	48.533024	7.612390	10.888577
 - 	26	44.189487	7.056868	14.217184
 - 	27	38.652184	6.938641	15.630104
 - 	28	32.755878	5.197720	16.647346
 - 	29	26.337414	3.444104	15.059767
 - 	30	19.589071	2.416397	14.037519
 - 	31	13.072093	0.409047	12.759087
 - 	32	6.092391	-0.439554	12.013793
 - 	33	-1.015358	-1.025045	10.953228
 - 	34	-7.406000	-1.918255	8.743175
 - 	35	-12.332436	-2.079710	6.487140
 - 	36	-14.635195	-2.478279	9.686110
 - 	37	-13.601880	-2.173294	13.762146
 - 	38	-10.305240	-1.840176	17.081018
 - 	39	-7.055930	-1.014678	19.644520
 - 	40	-4.880500	-0.847087	20.025795
 - 	41	-4.209962	-1.014215	17.802074
 - 	42	-4.897074	-1.251244	14.705802
 - 	43	-6.224926	-1.569738	10.225973
 - 	44	-9.026970	-1.942970	9.442423
 - 	45	-10.898643	-1.966984	10.233639
 - 	46	-7.551287	-1.231450	8.320507
 - 	47	-4.152420	-1.060368	11.241619
 - 	48	-1.094191	-1.123519	14.605262
 - 	49	-0.443729	-1.865788	16.316906
 - 	50	-0.588958	-2.276196	13.744374
 - 	51	-1.585772	-2.567885	8.476814
 - 	52	-1.708105	-1.883654	6.258879
 - 	53	-1.268263	-2.247345	8.536274
 - 	54	-2.217694	-1.542428	9.294727
 - 	55	-3.102588	-1.844795	10.628385
 - 	56	-4.245121	-2.165432	8.871560
 - 	57	-5.113829	-1.983788	5.291801
 - 	58	-4.477363	-1.640501	4.889349
 - 	59	-4.225724	-0.920365	3.044540
 - 	60	-4.249715	-0.966364	3.099368
 - 	61	-4.270721	-0.807958	4.307660
 - 	62	-4.384523	-0.772914	3.846812
 - 	63	-4.304260	-0.627094	2.891540
 - 	64	-4.067471	-0.479276	1.641072
 - 	65	-3.279760	-0.393305	1.174151
 - 	66	-2.554219	-0.192099	0.448060
 - 	67	-1.929306	-0.250334	0.114808
 - 	68	-1.003075	0.221976	-0.541477
 - 	69	-0.035298	0.236582	-1.666114
 - 	70	0.984926	0.038064	-2.255898
 - 	71	2.033893	0.305471	-2.567311
 - 	72	3.638410	0.098378	-1.783303
 - 	73	4.926592	0.816393	-3.069947
 - 	74	6.716012	0.717776	-2.603556
 - 	75	8.608960	1.032300	-1.420358
 - 	76	10.854326	0.563225	-1.363146
 - 	77	13.354897	1.511574	-0.972139
 - 	78	16.214619	1.212877	0.718675
 - 	79	19.390036	1.839079	3.051226
 - 	80	23.930622	2.981530	5.850299
 - 	81	28.847532	5.942514	8.434570
 - 	82	34.941792	6.873701	8.486269
 - 	83	40.063103	8.649229	3.335673
 - 	84	45.787991	10.107407	2.195825
 - 	85	51.385414	9.935613	0.412678
 - 	86	55.833866	8.630497	-0.210711
 - 	87	59.299088	9.162891	-0.239644
 - 	88	62.071987	8.054953	0.586422
 - 	89	63.446442	8.854419	1.805277
 - 	90	63.034882	9.421572	2.372211
 - 	91	61.886383	7.528893	2.773371
 - 	92	59.644806	8.910397	4.091296
 - 	93	56.979279	7.501401	5.124312
 - 	94	53.469208	8.162997	8.158506
 - 	95	49.245827	9.468326	12.266606
 - 	96	45.135422	7.751882	15.396914
 - 	97	39.811443	7.121298	17.255051
 - 	98	33.550880	6.640031	17.968454
