RShoulderAngle
File	Frame	X 	Y 	Z 
C:\Motion Data\1244\Processed\1244jb31.c3d	
 -	1	25.497276	-4.034066	-152.182617
 - 	2	24.866699	-3.397181	-151.412659
 - 	3	24.002165	-3.288707	-151.682983
 - 	4	23.063511	-2.925081	-151.093369
 - 	5	21.773693	-2.836321	-151.036240
 - 	6	20.722435	-2.575169	-151.211136
 - 	7	19.387789	-2.283439	-150.408981
 - 	8	18.272032	-1.773677	-150.134476
 - 	9	16.884014	-2.204335	-149.855560
 - 	10	15.701246	-2.558008	-149.200912
 - 	11	14.757066	-3.401175	-149.013153
 - 	12	14.152834	-3.585425	-148.422897
 - 	13	13.848847	-4.526417	-149.432724
 - 	14	13.542750	-5.425139	-149.788162
 - 	15	13.215421	-6.946117	-151.907410
 - 	16	13.096708	-7.730891	-152.834473
 - 	17	13.205440	-8.441028	-153.908676
 - 	18	13.633748	-8.358737	-154.439865
 - 	19	13.171442	-9.032224	-154.924423
 - 	20	12.509262	-9.768409	-155.375336
 - 	21	12.058039	-10.095819	-154.094894
 - 	22	10.705786	-10.875786	-153.263443
 - 	23	10.150507	-10.907729	-151.984985
 - 	24	9.752147	-11.666615	-151.437683
 - 	25	9.066497	-11.649820	-149.180054
 - 	26	8.698283	-12.120203	-148.783203
 - 	27	8.039443	-12.438091	-148.026154
 - 	28	7.546277	-12.642748	-146.921326
 - 	29	7.265032	-12.657706	-145.939972
 - 	30	6.829699	-12.929919	-145.759796
 - 	31	6.411150	-12.800398	-145.190186
 - 	32	5.699757	-13.487741	-146.429428
 - 	33	5.414378	-13.411643	-145.362991
 - 	34	5.043112	-13.058159	-145.191635
 - 	35	4.169825	-13.270701	-145.591675
 - 	36	3.756828	-13.350267	-145.636581
 - 	37	3.792928	-12.618227	-143.989624
 - 	38	3.177935	-12.645208	-143.245956
 - 	39	3.110488	-12.466469	-143.220169
 - 	40	2.875602	-12.437839	-143.195999
 - 	41	2.636898	-12.012449	-142.204803
 - 	42	2.126157	-12.154204	-143.002899
 - 	43	1.471645	-12.036321	-142.612961
 - 	44	0.928220	-11.718384	-141.508759
 - 	45	0.093850	-11.850026	-142.107712
 - 	46	0.540012	-11.532122	-141.566238
 - 	47	1.141085	-11.219281	-141.392792
 - 	48	2.053672	-10.991733	-142.578522
 - 	49	3.172123	-11.044686	-143.000061
 - 	50	4.867964	-10.003794	-144.391342
 - 	51	6.298028	-9.619382	-145.963638
 - 	52	7.471643	-8.593989	-145.369949
 - 	53	9.162644	-8.674721	-148.752625
 - 	54	11.130645	-7.617254	-148.854904
 - 	55	13.122522	-7.024641	-150.657639
 - 	56	14.353014	-7.862896	-152.396347
 - 	57	16.090082	-7.385285	-152.404236
 - 	58	17.434771	-6.463420	-151.536057
 - 	59	19.041182	-6.504688	-152.119690
 - 	60	20.449669	-7.104432	-153.328064
 - 	61	21.564482	-5.895030	-151.974045
 - 	62	22.939302	-5.582543	-152.167984
 - 	63	23.968605	-5.882143	-153.135742
 - 	64	23.412357	-6.023490	-152.668137
 - 	65	25.672792	-5.108392	-152.616364
 - 	66	26.430653	-5.172587	-153.060211
 - 	67	26.871077	-4.637430	-152.223267
 - 	68	27.187902	-4.995902	-152.969681
 - 	69	20.309717	-7.374922	-153.656158
 - 	70	27.522455	-3.811867	-152.472687
 - 	71	27.394602	-3.463267	-152.710556
 - 	72	26.966534	-3.444890	-152.955872
 - 	73	26.767653	-2.988772	-152.578247
 - 	74	25.578066	-2.392184	-151.585831
 - 	75	24.384476	-2.636520	-151.248810
 - 	76	22.923527	-2.705811	-150.815659
 - 	77	21.668032	-2.945859	-150.745117
 - 	78	20.036110	-2.204925	-149.758148
 - 	79	19.064470	-2.350949	-150.575729
 - 	80	17.620047	-2.842378	-150.410416
 - 	81	16.735744	-2.998524	-150.260529
 - 	82	15.740239	-3.810969	-150.125336
 - 	83	15.142208	-4.203234	-150.110504
 - 	84	14.853628	-5.162405	-151.715393
 - 	85	14.112370	-6.138454	-152.265137
 - 	86	14.038933	-7.147435	-154.047989
 - 	87	13.881498	-7.919627	-154.574738
 - 	88	13.903760	-10.254692	-155.915634
 - 	89	12.786734	-9.478716	-156.016205
 - 	90	12.337729	-10.198094	-156.855850
 - 	91	11.629057	-10.458177	-156.620468
 - 	92	10.950229	-10.672430	-155.636032
 - 	93	10.586728	-10.972687	-154.791382
 - 	94	10.347020	-11.335482	-154.044052
 - 	95	9.290403	-12.245483	-153.446259
