	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL
	HIP_X	HIP_X	HIP_X	HIP_Y	HIP_Y	HIP_Y	HIP_Z	HIP_Z	HIP_Z	KNEE_X	KNEE_X	KNEE_X	KNEE_Y	KNEE_Y	KNEE_Y	KNEE_Z	KNEE_Z	KNEE_Z	VHIP_X	VHIP_X	VHIP_X	VHIP_Y	VHIP_Y	VHIP_Y	VHIP_Z	VHIP_Z	VHIP_Z	VKNEE_X	VKNEE_X	VKNEE_X	VKNEE_Y	VKNEE_Y	VKNEE_Y	VKNEE_Z	VKNEE_Z	VKNEE_Z
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	1.000000	0.179536	0.016879	1.000000	1.145783	0.027370	1.000000	0.774757	0.003932	1.000000	0.151613	0.023118	1.000000	1.050542	0.027136	1.000000	0.408635	0.003687	1.000000	-0.188597	0.019719	1.000000	-1.480668	0.019749	1.000000	-0.031392	0.036848	1.000000	-0.021569	0.036476	1.000000	-1.685036	0.112759	1.000000	0.081772	0.040723
2	2.000000	0.177623	0.016864	2.000000	1.131093	0.027334	2.000000	0.774612	0.003764	2.000000	0.151462	0.023160	2.000000	1.034069	0.026783	2.000000	0.409588	0.003292	2.000000	-0.193724	0.014497	2.000000	-1.486886	0.014618	2.000000	-0.001292	0.034343	2.000000	-0.019703	0.034469	2.000000	-1.646424	0.143046	2.000000	0.105298	0.045029
3	3.000000	0.175690	0.016890	3.000000	1.116392	0.027294	3.000000	0.774703	0.003584	3.000000	0.151284	0.023144	3.000000	1.017947	0.026594	3.000000	0.410714	0.002846	3.000000	-0.196752	0.012764	3.000000	-1.488725	0.010865	3.000000	0.030159	0.033776	3.000000	-0.022933	0.034524	3.000000	-1.601737	0.164058	3.000000	0.127228	0.050228
4	4.000000	0.173735	0.016976	4.000000	1.101698	0.027244	4.000000	0.775164	0.003375	4.000000	0.151037	0.023040	4.000000	1.002388	0.026631	4.000000	0.412089	0.002332	4.000000	-0.196632	0.014742	4.000000	-1.484149	0.011531	4.000000	0.062856	0.034316	4.000000	-0.033131	0.035213	4.000000	-1.548051	0.168520	4.000000	0.145411	0.051897
5	5.000000	0.171794	0.017113	5.000000	1.087074	0.027186	5.000000	0.775960	0.003158	5.000000	0.150655	0.022883	5.000000	0.987379	0.026847	5.000000	0.413634	0.001817	5.000000	-0.193980	0.017875	5.000000	-1.474910	0.016959	5.000000	0.094275	0.034804	5.000000	-0.046915	0.034672	5.000000	-1.487304	0.161653	5.000000	0.156831	0.049788
6	6.000000	0.169892	0.017284	6.000000	1.072566	0.027120	6.000000	0.777052	0.002956	6.000000	0.150115	0.022702	6.000000	0.972977	0.027190	6.000000	0.415250	0.001353	6.000000	-0.189002	0.020257	6.000000	-1.462188	0.023524	6.000000	0.121636	0.033996	6.000000	-0.060992	0.031793	6.000000	-1.417487	0.148084	6.000000	0.158984	0.044585
