	C:\Motion Data\1475\Processed\cy\no_robot\1475cy10.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy10.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy10.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy10.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy10.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy10.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy13.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy13.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy13.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy13.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy13.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy13.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy5.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy5.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy5.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy5.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy5.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy5.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy6.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy6.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy6.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy6.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy6.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy6.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy7.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy7.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy7.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy7.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy7.c3d	C:\Motion Data\1475\Processed\cy\no_robot\1475cy7.c3d
	HH_RIGHT_HIP_FILT	HH_RIGHT_HIP_FILT	HH_RIGHT_HIP_FILT	HH_RIGHT_KNEE_FILT	HH_RIGHT_KNEE_FILT	HH_RIGHT_KNEE_FILT	HH_RIGHT_HIP_FILT	HH_RIGHT_HIP_FILT	HH_RIGHT_HIP_FILT	HH_RIGHT_KNEE_FILT	HH_RIGHT_KNEE_FILT	HH_RIGHT_KNEE_FILT	HH_RIGHT_HIP_FILT	HH_RIGHT_HIP_FILT	HH_RIGHT_HIP_FILT	HH_RIGHT_KNEE_FILT	HH_RIGHT_KNEE_FILT	HH_RIGHT_KNEE_FILT	HH_RIGHT_HIP_FILT	HH_RIGHT_HIP_FILT	HH_RIGHT_HIP_FILT	HH_RIGHT_KNEE_FILT	HH_RIGHT_KNEE_FILT	HH_RIGHT_KNEE_FILT	HH_RIGHT_HIP_FILT	HH_RIGHT_HIP_FILT	HH_RIGHT_HIP_FILT	HH_RIGHT_KNEE_FILT	HH_RIGHT_KNEE_FILT	HH_RIGHT_KNEE_FILT
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.193287	1.173417	0.772992	0.169038	1.075718	0.407630	0.184937	1.171837	0.771917	0.166602	1.080606	0.404619	0.166920	1.108708	0.776891	0.131426	1.025640	0.406752	0.157022	1.132919	0.771352	0.121760	1.022579	0.409864	0.195512	1.142036	0.780633	0.169240	1.048169	0.414308
2	0.191245	1.158491	0.772859	0.169089	1.058003	0.408804	0.183266	1.157403	0.772121	0.166759	1.063840	0.406178	0.165093	1.094124	0.776172	0.130840	1.007682	0.407588	0.155015	1.118311	0.771409	0.121859	1.007358	0.410699	0.193498	1.127135	0.780501	0.168763	1.033462	0.414673
3	0.189236	1.143513	0.772900	0.169072	1.040696	0.410095	0.181556	1.142938	0.772608	0.166884	1.047431	0.407937	0.163171	1.079489	0.775774	0.130360	0.989789	0.408726	0.152973	1.103699	0.771725	0.121951	0.992503	0.411697	0.191513	1.112321	0.780510	0.168153	1.019317	0.415116
4	0.187294	1.128481	0.773216	0.168915	1.024029	0.411550	0.179800	1.128441	0.773525	0.166928	1.031614	0.409964	0.161130	1.064800	0.775886	0.130009	0.972118	0.410296	0.150879	1.089098	0.772446	0.121995	0.978195	0.412942	0.189574	1.097672	0.780747	0.167337	1.005982	0.415695
5	0.185444	1.113470	0.773795	0.168541	1.007968	0.413115	0.178048	1.113966	0.774791	0.166821	1.016428	0.412106	0.159055	1.050129	0.776468	0.129676	0.954982	0.412136	0.148743	1.074556	0.773527	0.121895	0.964317	0.414382	0.187678	1.083250	0.781220	0.166342	0.993199	0.416428
6	0.183691	1.098539	0.774630	0.167926	0.992567	0.414712	0.176335	1.099553	0.776327	0.166526	1.001980	0.414214	0.157007	1.035523	0.777477	0.129274	0.938608	0.414105	0.146592	1.060120	0.774901	0.121618	0.950868	0.415922	0.185835	1.069094	0.781926	0.165232	0.980865	0.417298
7	0.182023	1.083732	0.775716	0.167095	0.977960	0.416245	0.174681	1.085229	0.778059	0.166041	0.988439	0.416156	0.155020	1.021005	0.778869	0.128758	0.923161	0.416086	0.144466	1.045831	0.776488	0.121184	0.937956	0.417443	0.184063	1.055215	0.782856	0.164088	0.969043	0.418257
8	0.180426	1.069094	0.777002	0.166118	0.964320	0.417608	0.173112	1.071025	0.779880	0.165394	0.975975	0.417811	0.153128	1.006599	0.780544	0.128114	0.908833	0.417938	0.142419	1.031727	0.778166	0.120644	0.925712	0.418816	0.182392	1.041591	0.783980	0.162981	0.957885	0.419235
9	0.178887	1.054663	0.778418	0.165076	0.951819	0.418708	0.171653	1.056972	0.781674	0.164624	0.964730	0.419088	0.151363	0.992327	0.782378	0.127361	0.895812	0.419532	0.140512	1.017831	0.779813	0.120058	0.914267	0.419932	0.180853	1.028193	0.785259	0.161953	0.947579	0.420164
10	0.177413	1.040461	0.779885	0.164046	0.940605	0.419489	0.170335	1.043100	0.783346	0.163775	0.954781	0.419957	0.149758	0.978208	0.784251	0.126550	0.884253	0.420785	0.138798	1.004152	0.781332	0.119479	0.903737	0.420727	0.179481	1.014992	0.786653	0.160999	0.938334	0.420984
11	0.176023	1.026507	0.781334	0.163070	0.930735	0.419940	0.169179	1.029445	0.784835	0.162885	0.946130	0.420441	0.148344	0.964257	0.786063	0.125739	0.874241	0.421661	0.137318	0.990692	0.782666	0.118937	0.894177	0.421186	0.178297	1.001984	0.788124	0.160092	0.930284	0.421660
12	0.174748	1.012819	0.782707	0.162168	0.922189	0.420084	0.168200	1.016045	0.786120	0.161979	0.938704	0.420611	0.147152	0.950486	0.787746	0.124985	0.865779	0.422176	0.136093	0.977457	0.783798	0.118435	0.885577	0.421332	0.177314	0.989193	0.789639	0.159189	0.923474	0.422182
13	0.173619	0.999413	0.783986	0.161329	0.914855	0.419990	0.167386	1.002922	0.787244	0.161066	0.932370	0.420570	0.146195	0.936903	0.789278	0.124312	0.858754	0.422400	0.135119	0.964459	0.784758	0.117955	0.877848	0.421224	0.176524	0.976650	0.791179	0.158257	0.917831	0.422577
14	0.172657	0.986301	0.785185	0.160540	0.908579	0.419747	0.166713	0.990085	0.788281	0.160150	0.926971	0.420437	0.145477	0.923517	0.790674	0.123726	0.852984	0.422428	0.134369	0.951708	0.785604	0.117469	0.870867	0.420937	0.175913	0.964382	0.792730	0.157272	0.913221	0.422894
15	0.171864	0.973480	0.786353	0.159793	0.903184	0.419458	0.166145	0.977509	0.789332	0.159225	0.922340	0.420324	0.144983	0.910344	0.791973	0.123194	0.848216	0.422377	0.133797	0.939203	0.786419	0.116952	0.864485	0.420555	0.175460	0.952391	0.794289	0.156222	0.909457	0.423200
16	0.171228	0.960937	0.787551	0.159092	0.898506	0.419215	0.165652	0.965160	0.790482	0.158290	0.918325	0.420320	0.144690	0.897398	0.793222	0.122675	0.844184	0.422354	0.133354	0.926923	0.787280	0.116394	0.858578	0.420155	0.175143	0.940657	0.795852	0.155107	0.906358	0.423555
17	0.170726	0.948649	0.788841	0.158449	0.894403	0.419092	0.165216	0.952997	0.791780	0.157347	0.914792	0.420479	0.144570	0.884697	0.794464	0.122124	0.840628	0.422443	0.132991	0.914832	0.788253	0.115802	0.853055	0.419802	0.174940	0.929140	0.797409	0.153936	0.903757	0.424002
18	0.170333	0.936592	0.790252	0.157872	0.890763	0.419129	0.164833	0.940998	0.793220	0.156406	0.911635	0.420811	0.144588	0.872238	0.795732	0.121517	0.837341	0.422691	0.132673	0.902885	0.789370	0.115198	0.847877	0.419540	0.174822	0.917798	0.798943	0.152731	0.901527	0.424557
19	0.170028	0.924736	0.791783	0.157350	0.887490	0.419340	0.164509	0.929149	0.794756	0.155481	0.908771	0.421305	0.144708	0.860008	0.797046	0.120856	0.834171	0.423115	0.132375	0.891033	0.790634	0.114613	0.843040	0.419395	0.174752	0.906585	0.800428	0.151528	0.899569	0.425219
20	0.169800	0.913054	0.793392	0.156854	0.884502	0.419713	0.164246	0.917445	0.796310	0.154602	0.906148	0.421926	0.144897	0.847972	0.798408	0.120173	0.831053	0.423698	0.132085	0.879234	0.792014	0.114073	0.838566	0.419378	0.174690	0.895460	0.801823	0.150392	0.897813	0.425967
21	0.169636	0.901513	0.795010	0.156356	0.881732	0.420222	0.164039	0.905871	0.797806	0.153809	0.903735	0.422638	0.145126	0.836093	0.799793	0.119520	0.827968	0.424406	0.131801	0.867456	0.793459	0.113592	0.834472	0.419487	0.174599	0.884388	0.803079	0.149403	0.896208	0.426775
22	0.169531	0.890085	0.796555	0.155840	0.879128	0.420832	0.163880	0.894399	0.799172	0.153147	0.901525	0.423412	0.145373	0.824333	0.801148	0.118955	0.824940	0.425190	0.131529	0.855683	0.794900	0.113167	0.830762	0.419711	0.174453	0.873348	0.804139	0.148651	0.894717	0.427616
23	0.169469	0.878741	0.797949	0.155329	0.876670	0.421505	0.163753	0.882997	0.800353	0.152653	0.899524	0.424228	0.145621	0.812660	0.802400	0.118529	0.821997	0.426008	0.131282	0.843911	0.796269	0.112783	0.827418	0.420033	0.174236	0.862330	0.804946	0.148213	0.893312	0.428464
24	0.169433	0.867456	0.799134	0.154863	0.874358	0.422211	0.163646	0.871637	0.801300	0.152344	0.897741	0.425077	0.145857	0.801051	0.803465	0.118274	0.819158	0.426818	0.131077	0.832145	0.797506	0.112416	0.824403	0.420436	0.173944	0.851339	0.805452	0.148138	0.891975	0.429297
25	0.169402	0.856208	0.800075	0.154493	0.872212	0.422931	0.163548	0.860314	0.801971	0.152202	0.896172	0.425952	0.146073	0.789497	0.804270	0.118190	0.816421	0.427591	0.130932	0.820395	0.798567	0.112046	0.821676	0.420909	0.173583	0.840390	0.805630	0.148415	0.890673	0.430097
26	0.169357	0.844980	0.800761	0.154251	0.870253	0.423662	0.163454	0.849039	0.802332	0.152180	0.894789	0.426849	0.146262	0.778000	0.804758	0.118250	0.813778	0.428307	0.130861	0.808669	0.799422	0.111660	0.819196	0.421446	0.173166	0.829499	0.805471	0.148988	0.889354	0.430851
27	0.169285	0.833764	0.801190	0.154149	0.868496	0.424413	0.163358	0.837840	0.802360	0.152203	0.893533	0.427760	0.146420	0.766572	0.804906	0.118400	0.811218	0.428964	0.130874	0.796970	0.800054	0.111261	0.816930	0.422050	0.172716	0.818671	0.804994	0.149744	0.887924	0.431549
28	0.169176	0.822564	0.801374	0.154171	0.866933	0.425198	0.163245	0.826737	0.802059	0.152193	0.892322	0.428680	0.146543	0.755223	0.804720	0.118576	0.808737	0.429574	0.130974	0.785293	0.800451	0.110867	0.814855	0.422725	0.172257	0.807896	0.804230	0.150565	0.886260	0.432186
29	0.169030	0.811388	0.801323	0.154282	0.865527	0.426033	0.163100	0.815738	0.801461	0.152082	0.891061	0.429605	0.146632	0.743957	0.804233	0.118720	0.806333	0.430162	0.131163	0.773629	0.800605	0.110499	0.812949	0.423472	0.171816	0.797149	0.803227	0.151338	0.884225	0.432757
30	0.168853	0.800247	0.801050	0.154429	0.864203	0.426922	0.162905	0.804832	0.800616	0.151843	0.889642	0.430532	0.146689	0.732761	0.803493	0.118798	0.803980	0.430763	0.131438	0.761972	0.800510	0.110174	0.811175	0.424288	0.171414	0.786402	0.802029	0.152004	0.881700	0.433257
